Time,TWE_set,TEI,TWEI,TEO,TWEO,TCI,TWCI,TCO,TWCO,TSI,TSO,TBI,TBO,Cond Tons,Cooling Tons,Shared Cond Tons,Cond Energy Balance,Evap Tons,Shared Evap Tons,Building Tons,Evap Energy Balance,kW,COP,kW/Ton,FWC,FWE,TEA,TCA,TRE,PRE,TRC,PRC,TRC_sub,T_suc,Tsh_suc,TR_dis,Tsh_dis,P_lift,Amps,RLA%,Heat Balance,Heat Balance%,Tolerance%,Unit Status,Active Fault,TO_sump,TO_feed,PO_feed,PO_net,TWCD,TWED,VSS,VSL,VH,VM,VC,VE,VW,TWI,TWO,THI,THO,FWW,FWH,FWB
3.583,39,75.26,75.6,75.32,75.4,75.01,75,75.05,74.9,74.98,75.03,75.31,75.39,6.30E-48,1.10E-47,7.21E-48,2.49E-48,8.67E-48,-1.24E-48,9.29E-48,1.67E-47,1.68E-45,3.05E-47,1.68E-45,3.87E-45,3.10E-45,0.4,0,74.8,78.5,70.9,72.5,0,87,12.2,75.9,4.7,0,0,0,0,0,23.27,1,29,118.1,93.5,73,0,0,0.4,0,0,100,100,56,56,0,71.17,73.92,75.07,75.1,9.59E-47,2.23E-46,3.84E-45
13.56,50,75.26,75.6,75.28,75.2,75.01,75,75.05,75,74.98,75.03,75.31,75.39,6.30E-48,1.10E-47,7.21E-48,2.49E-48,3.39E-48,4.04E-48,9.29E-48,1.67E-47,1.68E-45,1.19E-47,1.68E-45,3.87E-45,3.10E-45,0.4,0,74.8,78.5,70.9,72.5,0,87,12.4,75.9,4.8,0,0,0,0,0,23.27,1,29,118.1,93.5,73,0,0,0.4,0,0,100,100,56,56,30,71.17,73.96,75.07,75.1,9.45E-47,2.23E-46,3.77E-45
23.56,50,75.26,75.6,75.32,75.2,75.01,74.9,75.05,75,74.98,75.03,75.36,75.43,0.2193,0.3834,0.251,0.08685,0.4382,0.2044,0.4684,1.111,1.68E-45,1.541,1.68E-45,134.7,156.5,0.2,0,75,78.8,71.2,73,0,87,12.2,75.9,4.7,0,0,0,0,0,23.27,1,29,118.3,93.5,73,0,0,0.4,0,0,100,100,56,56,30,71.17,73.96,75.24,75.18,3.291,11.24,129.8
33.58,50,75.26,75.6,75.32,75.2,75.01,74.9,75.05,75,74.98,75.03,75.36,75.39,0.2934,0.513,0.3358,0.1162,0.5723,0.2669,0.2641,1.103,1.68E-45,2.012,1.68E-45,180.3,204.4,0.2,0,75,78.8,70.9,72.5,0,87,12.2,75.7,4.7,0,0,0,0,0,23.27,6,0,118.3,93.5,73.5,0,0,0.4,0,0,100,100,56,56,30,71.21,74,75.32,75.22,4.403,6.338,173.9
43.57,50,75.3,75.6,75.32,75.2,75.01,75,75.09,74.9,74.98,75.03,75.36,75.43,0.6289,0.8587,0.3514,0.1216,0.2348,0.281,0.6441,1.16,1.68E-45,0.8254,1.68E-45,188.6,215.2,0.2,0,75,78.8,70.9,72.5,0,87,12,75.9,5,0,0,0,0,0,23.27,6,0,118.5,93.7,73,0,0,0.4,0,0,100,100,56,56,30,71.37,74.08,75.4,75.26,7.593,15.46,181.9
53.57,50,75.3,75.6,75.32,75.2,75.05,74.9,75.05,75,74.98,74.98,75.36,75.39,-0.01496,0.5398,0.02967,-0.5251,0.2349,0.2811,0.2781,0.7941,1.68E-45,0.8258,1.68E-45,189.7,215.3,0.4,0,74.8,78.6,71.2,73,0,87,12.2,75.9,4.7,0,0,0,0,0,23.27,6,0,118.5,93.7,73,0,0.1,0.4,0,0,100,100,56,56,30,71.78,74.21,75.4,75.3,5.337,6.675,183
63.58,50,75.3,75.6,75.37,75.2,75.01,74.9,75.05,74.9,74.94,75.03,75.36,75.39,0.3091,0.864,0.6773,0.1224,0.6041,-0.0865,0.279,0.7966,1.68E-45,2.124,1.68E-45,189.9,216,0.4,0,75,78.8,70.9,72.5,0,87,12,75.9,5,0,0,0,0,0,23.27,6,0,118.8,93.5,72.5,0,0,0.2,0,0,100,100,56,56,30,71.94,74.29,75.44,75.34,8.839,6.696,187.8
73.58,50,75.34,75.6,75.32,75.2,75.01,74.9,75.05,75,74.9,74.98,75.36,75.43,0.3073,1.181,0.6734,-0.2005,0.1331,0.2824,0.6473,0.7966,1.68E-45,0.4679,1.68E-45,188.8,216.2,0.4,0,74.8,78.5,71.2,73,0,87,12.2,75.9,4.7,0,0,0,0,0,23.27,6,0,119,93.7,72.5,0,0.1,0.4,0,0,100,100,56,56,30,71.86,74.25,75.48,75.34,11.88,15.53,182
83.57,50,75.34,75.6,75.37,75.4,74.97,74.7,75.05,74.9,74.9,74.94,75.36,75.43,0.6293,1.181,0.3516,-0.1999,0.2369,-0.08697,0.6499,0.7998,1.68E-45,0.8329,1.68E-45,188.7,217.1,0.2,0,75,78.8,70.9,72.5,0,87,12.2,76,5,0,0,0,0,0,23.27,6,0,119,93.5,73,0,0,0.4,0,0,100,100,56,56,30,71.33,74.21,75.48,75.34,9.847,15.6,186.7
93.58,50,75.34,75.6,75.37,75.2,74.97,74.7,75.01,74.9,74.86,74.94,75.31,75.39,0.309,1.188,0.6776,-0.2011,0.2361,-0.456,0.6489,0.429,1.68E-45,0.8301,1.68E-45,189.8,216.4,0.4,0,74.8,78.5,71.2,73,0,87,12.2,75.9,4.7,0,0,0,0,0,23.27,6,0,119,93.5,73,0,0.2,0.4,0,0,100,100,56,56,30,70.51,74.04,75.48,75.3,8.068,15.57,178.9
